thread_id,_score,label,text
100000455,-0.15169144,1,Article on a demo version of a song that might not even be commercially released. Until it's released as a single it doesn't deserve its own article. Wikipedia isn't an LP fansite.
100000455,-0.15169144,1,"* VOTE, for the reasons mentioned above. --"
100000455,-0.15169144,1,"*VOTE ""Qwerty is the ''working title'' for an ''unreleased'' song"" - Wikipedia is not a [[WP:NOT|crystal ball]]. --"
100000455,-0.15169144,1,* VOTE crystal-ballery
100000455,-0.15169144,1,* Come on where is everyones sense of humour - great title for a song! VOTE though of course
100000455,-0.15169144,1,*VOTE per nom.  Have a nice day.  --
100000455,-0.15169144,1,*VOTE It's just a waste of space.
100000455,-0.15169144,1,*VOTE nn notable .--
100000455,-0.15169144,1,"*VOTE, although I don't see it as ''quite'' as obvious as the above commentors, as the song has apparantly generated some buzz due to its internet ""release"". Still not enough, though."
100000455,-0.15169144,1,*VOTE per nom. --
100000455,-0.1737439,1,Article on a demo version of a song that might not even be commercially released. Until it's released as a single it doesn't deserve its own article. Wikipedia isn't an LP fansite.
100000455,-0.1737439,1,"* VOTE, for the reasons mentioned above. --"
100000455,-0.1737439,1,"*VOTE ""Qwerty is the ''working title'' for an ''unreleased'' song"" - Wikipedia is not a [[WP:NOT|crystal ball]]. --"
100000455,-0.1737439,1,* VOTE crystal-ballery
100000455,-0.1737439,1,* Come on where is everyones sense of humour - great title for a song! VOTE though of course
100000455,-0.1737439,1,*VOTE per nom.  Have a nice day.  --
100000455,-0.1737439,1,*VOTE It's just a waste of space.
100000455,-0.1737439,1,*VOTE nn notable .--
100000455,-0.1737439,1,"*VOTE, although I don't see it as ''quite'' as obvious as the above commentors, as the song has apparantly generated some buzz due to its internet ""release"". Still not enough, though."
100000455,-0.1737439,1,*VOTE per nom. --
100000455,-0.1746643,1,Article on a demo version of a song that might not even be commercially released. Until it's released as a single it doesn't deserve its own article. Wikipedia isn't an LP fansite.
100000455,-0.1746643,1,"* VOTE, for the reasons mentioned above. --"
100000455,-0.1746643,1,"*VOTE ""Qwerty is the ''working title'' for an ''unreleased'' song"" - Wikipedia is not a [[WP:NOT|crystal ball]]. --"
100000455,-0.1746643,1,* VOTE crystal-ballery
100000455,-0.1746643,1,* Come on where is everyones sense of humour - great title for a song! VOTE though of course
100000455,-0.1746643,1,*VOTE per nom.  Have a nice day.  --
100000455,-0.1746643,1,*VOTE It's just a waste of space.
100000455,-0.1746643,1,*VOTE nn notable .--
100000455,-0.1746643,1,"*VOTE, although I don't see it as ''quite'' as obvious as the above commentors, as the song has apparantly generated some buzz due to its internet ""release"". Still not enough, though."
100000455,-0.1746643,1,*VOTE per nom. --
100000455,-0.17974655,1,Article on a demo version of a song that might not even be commercially released. Until it's released as a single it doesn't deserve its own article. Wikipedia isn't an LP fansite.
100000455,-0.17974655,1,"* VOTE, for the reasons mentioned above. --"
100000455,-0.17974655,1,"*VOTE ""Qwerty is the ''working title'' for an ''unreleased'' song"" - Wikipedia is not a [[WP:NOT|crystal ball]]. --"
100000455,-0.17974655,1,* VOTE crystal-ballery
100000455,-0.17974655,1,* Come on where is everyones sense of humour - great title for a song! VOTE though of course
100000455,-0.17974655,1,*VOTE per nom.  Have a nice day.  --
100000455,-0.17974655,1,*VOTE It's just a waste of space.
100000455,-0.17974655,1,*VOTE nn notable .--
100000455,-0.17974655,1,"*VOTE, although I don't see it as ''quite'' as obvious as the above commentors, as the song has apparantly generated some buzz due to its internet ""release"". Still not enough, though."
100000455,-0.17974655,1,*VOTE per nom. --
100000455,-0.17991601,1,Article on a demo version of a song that might not even be commercially released. Until it's released as a single it doesn't deserve its own article. Wikipedia isn't an LP fansite.
100000455,-0.17991601,1,"* VOTE, for the reasons mentioned above. --"
100000455,-0.17991601,1,"*VOTE ""Qwerty is the ''working title'' for an ''unreleased'' song"" - Wikipedia is not a [[WP:NOT|crystal ball]]. --"
100000455,-0.17991601,1,* VOTE crystal-ballery
100000455,-0.17991601,1,* Come on where is everyones sense of humour - great title for a song! VOTE though of course
100000455,-0.17991601,1,*VOTE per nom.  Have a nice day.  --
100000455,-0.17991601,1,*VOTE It's just a waste of space.
100000455,-0.17991601,1,*VOTE nn notable .--
100000455,-0.17991601,1,"*VOTE, although I don't see it as ''quite'' as obvious as the above commentors, as the song has apparantly generated some buzz due to its internet ""release"". Still not enough, though."
100000455,-0.17991601,1,*VOTE per nom. --
100000455,-0.19883433,1,Article on a demo version of a song that might not even be commercially released. Until it's released as a single it doesn't deserve its own article. Wikipedia isn't an LP fansite.
100000455,-0.19883433,1,"* VOTE, for the reasons mentioned above. --"
100000455,-0.19883433,1,"*VOTE ""Qwerty is the ''working title'' for an ''unreleased'' song"" - Wikipedia is not a [[WP:NOT|crystal ball]]. --"
100000455,-0.19883433,1,* VOTE crystal-ballery
100000455,-0.19883433,1,* Come on where is everyones sense of humour - great title for a song! VOTE though of course
100000455,-0.19883433,1,*VOTE per nom.  Have a nice day.  --
100000455,-0.19883433,1,*VOTE It's just a waste of space.
100000455,-0.19883433,1,*VOTE nn notable .--
100000455,-0.19883433,1,"*VOTE, although I don't see it as ''quite'' as obvious as the above commentors, as the song has apparantly generated some buzz due to its internet ""release"". Still not enough, though."
100000455,-0.19883433,1,*VOTE per nom. --
100000455,-0.20198624,1,Article on a demo version of a song that might not even be commercially released. Until it's released as a single it doesn't deserve its own article. Wikipedia isn't an LP fansite.
100000455,-0.20198624,1,"* VOTE, for the reasons mentioned above. --"
100000455,-0.20198624,1,"*VOTE ""Qwerty is the ''working title'' for an ''unreleased'' song"" - Wikipedia is not a [[WP:NOT|crystal ball]]. --"
100000455,-0.20198624,1,* VOTE crystal-ballery
100000455,-0.20198624,1,* Come on where is everyones sense of humour - great title for a song! VOTE though of course
100000455,-0.20198624,1,*VOTE per nom.  Have a nice day.  --
100000455,-0.20198624,1,*VOTE It's just a waste of space.
100000455,-0.20198624,1,*VOTE nn notable .--
100000455,-0.20198624,1,"*VOTE, although I don't see it as ''quite'' as obvious as the above commentors, as the song has apparantly generated some buzz due to its internet ""release"". Still not enough, though."
100000455,-0.20198624,1,*VOTE per nom. --
100000455,-0.2123958,1,Article on a demo version of a song that might not even be commercially released. Until it's released as a single it doesn't deserve its own article. Wikipedia isn't an LP fansite.
100000455,-0.2123958,1,"* VOTE, for the reasons mentioned above. --"
100000455,-0.2123958,1,"*VOTE ""Qwerty is the ''working title'' for an ''unreleased'' song"" - Wikipedia is not a [[WP:NOT|crystal ball]]. --"
100000455,-0.2123958,1,* VOTE crystal-ballery
100000455,-0.2123958,1,* Come on where is everyones sense of humour - great title for a song! VOTE though of course
100000455,-0.2123958,1,*VOTE per nom.  Have a nice day.  --
100000455,-0.2123958,1,*VOTE It's just a waste of space.
100000455,-0.2123958,1,*VOTE nn notable .--
100000455,-0.2123958,1,"*VOTE, although I don't see it as ''quite'' as obvious as the above commentors, as the song has apparantly generated some buzz due to its internet ""release"". Still not enough, though."
100000455,-0.2123958,1,*VOTE per nom. --
100000455,-0.24474916,1,Article on a demo version of a song that might not even be commercially released. Until it's released as a single it doesn't deserve its own article. Wikipedia isn't an LP fansite.
100000455,-0.24474916,1,"* VOTE, for the reasons mentioned above. --"
100000455,-0.24474916,1,"*VOTE ""Qwerty is the ''working title'' for an ''unreleased'' song"" - Wikipedia is not a [[WP:NOT|crystal ball]]. --"
100000455,-0.24474916,1,* VOTE crystal-ballery
100000455,-0.24474916,1,* Come on where is everyones sense of humour - great title for a song! VOTE though of course
100000455,-0.24474916,1,*VOTE per nom.  Have a nice day.  --
100000455,-0.24474916,1,*VOTE It's just a waste of space.
100000455,-0.24474916,1,*VOTE nn notable .--
100000455,-0.24474916,1,"*VOTE, although I don't see it as ''quite'' as obvious as the above commentors, as the song has apparantly generated some buzz due to its internet ""release"". Still not enough, though."
100000455,-0.24474916,1,*VOTE per nom. --
100000455,-0.2552708,1,Article on a demo version of a song that might not even be commercially released. Until it's released as a single it doesn't deserve its own article. Wikipedia isn't an LP fansite.
100000455,-0.2552708,1,"* VOTE, for the reasons mentioned above. --"
100000455,-0.2552708,1,"*VOTE ""Qwerty is the ''working title'' for an ''unreleased'' song"" - Wikipedia is not a [[WP:NOT|crystal ball]]. --"
100000455,-0.2552708,1,* VOTE crystal-ballery
100000455,-0.2552708,1,* Come on where is everyones sense of humour - great title for a song! VOTE though of course
100000455,-0.2552708,1,*VOTE per nom.  Have a nice day.  --
100000455,-0.2552708,1,*VOTE It's just a waste of space.
100000455,-0.2552708,1,*VOTE nn notable .--
100000455,-0.2552708,1,"*VOTE, although I don't see it as ''quite'' as obvious as the above commentors, as the song has apparantly generated some buzz due to its internet ""release"". Still not enough, though."
100000455,-0.2552708,1,*VOTE per nom. --
100015542,-0.05761922,0,Fails [[WP:Music]] (
100015542,-0.05761922,0,"*VOTE Very low charting, fails notability for songs, unlikely redirect term."
100015542,-0.05761922,0,*VOTE A charted song.
100015542,-0.05761922,0,"*VOTE per [[WP:MUSIC]]. Charted songs are notable, regardless of their actual rank. It is not to us to suggest arbitrary cut-off points within a chart. -"
100015542,-0.05761922,0,"*VOTE as a non-plausible search term, fails notability per [[WP:MUSIC#Songs]]. A separate article is only appropriate on a song when there is enough verifiable material to warrant a reasonably detailed article. <small>"
100015542,-0.05761922,0,*VOTE - falls short of [[WP:NSONGS]] to warrant its own article as [[User:Esradekan]] points out.--
100015542,-0.05761922,0,"*VOTE: notability not established, as per [[WP:MUSIC#Songs]]."
100015542,-0.05761922,0,"*The article describes the reason it was written, when and where it was first performed and the relevance to the show Hannah Montana along with all the infobox info you'd want. How much more information do you need for a separate article? -"
100015542,-0.05761922,0,** Comment. It needs more information for it to be its own separate article. It really doesn't matter where she performed the song or why it was used in Hannah Montana. Read [[Wikipedia:Music#Albums.2C_singles_and_songs|this]] for a better understanding. (
100015542,-0.05761922,0,"*VOTE. The song has received significant attention, and Miley performed it on Oprah's talk show late last year."
100015542,-0.06639546,0,Fails [[WP:Music]] (
100015542,-0.06639546,0,"*VOTE Very low charting, fails notability for songs, unlikely redirect term."
100015542,-0.06639546,0,*VOTE A charted song.
100015542,-0.06639546,0,"*VOTE per [[WP:MUSIC]]. Charted songs are notable, regardless of their actual rank. It is not to us to suggest arbitrary cut-off points within a chart. -"
100015542,-0.06639546,0,"*VOTE as a non-plausible search term, fails notability per [[WP:MUSIC#Songs]]. A separate article is only appropriate on a song when there is enough verifiable material to warrant a reasonably detailed article. <small>"
100015542,-0.06639546,0,*VOTE - falls short of [[WP:NSONGS]] to warrant its own article as [[User:Esradekan]] points out.--
100015542,-0.06639546,0,"*VOTE: notability not established, as per [[WP:MUSIC#Songs]]."
100015542,-0.06639546,0,"*The article describes the reason it was written, when and where it was first performed and the relevance to the show Hannah Montana along with all the infobox info you'd want. How much more information do you need for a separate article? -"
