__msg_id__,thread_id,score,label,text
867890,100113838,0.35190678,1.0,"** I've done some cleanup, mainly removing all the internal links to various parts of the website, and some unrelated content such as websites (that you've never heard of) owned by the same company. There was also an obvious corporate turfing of many mentions of Break.com as ""TMFT Enterprises LLC website Break.com"", also removed. The article still needs references, though. --"
619118,100080365,0.32790864,0.0,"Though the article was kept at a 2010 AfD, this was based on one article in ''The Express'' (which I've added), a press release and an 'article' on an independent financila advisor company website. I can't imagine that would take it past today's [[WP:NCORP]] notability threshold. I can find nothing else of substance online about the company, other than press releases, the usual company directory profiles and the occasional blog. The company claims to be a pioneer but I can't see any independent proof. This company is operating in the digital age so I'd expect to be able to find coverage if it existed. All this, combined with the continual attempts by IPs to re-write it advertorially, had led me to think it's better the article is deleted. fails WP:GNG and WP:NCORP."
748523,100098260,0.31829664,0.0,"*VOTE. A search for significant reliable and independent sources about the organization came up empty. Notability not established in accordance with [[WP:ORG]]. <font color=""navy"" face=""Tahoma"">"
398789,100053431,0.31677237,0.0,"Fails [[WP:ORG]] - only 1 ref and that does not mention the company, I can't find any of value to add. The website http://www.interactivo-gulf.com appears to have been taken over as a spam site. Created by a single purpose account."
314693,100043518,0.31468356,1.0,"Article about now-defunct website, no sources given to demonstrate notability or back up any of the statements made in the article. Digging on Google finds only passing mentions in lists of similar resources: fails to meet [[WP:CORP]]."
523436,100068817,0.31381854,1.0,"I removed the {{tl|db-corp}} tag because notability is asserted by the external links. Furthermore, because this is an Iranian publishing company, there may be sources in [[Iranian language|Iranian]]. An AfD will allow editors who know Iranian to search for sources.<p>A [http://news.google.com/archivesearch?q=%22World+Organization+for+Islamic+Services%22&btnG=Search+Archives&scoring=a Google News Arhive search] returns no sources to establish notability, while a [http://books.google.com/books?q=%22World%20Organization%20for%20Islamic%20Services%22&sa=N&hl=en&tab=np Google Books search] returns mainly books that are published by the company or passing mentions in other books that cite books published by it. This company appears to fail [[Wikipedia:Notability (companies)]] and [[Wikipedia:Verifiability]]. I will withdraw this deletion nomination if reliable sources are found to establish notability."
458977,100061482,0.31246805,0.0,"The sources themselves are significant in verifying the person in question's notability. Googling him in ""google news"" will show his name appears more than a dozen times in independent sources. The sources I chose to include in the site are significant, albeit in another language. I believe the user Fortuna Imperatrix Mundi is biased against me and has been edit warring with me for a few days now. He also claimed that I vandalized the page [[Louis Talpe]] (the person in question) when I did nothing. I actually created the page. However, he deleted external links and references and tried to get the page deleted several times. His behavior on wikipedia is perhaps questionable."
990848,100129569,0.3114003,1.0,"*'''Comment'''. AfD is the wrong venue for copyright violations. But more importantly, the article has been extensively edited by {{u|Sschaal1}} and {{u|Sschaal2}}, now blocked for sockpuppetry. If there has been any copying, I think we can safely infer that the owner of the copyrighted material has, by editing the material into the article here, granted permission for it to be used here. The attempts to delete the article began at more or less the same time as Sschaal was blocked from editing the article and an IP editor added a reference to ''Der Spiegel'' alleging financial improprieties on the part of Schaal; that timing seems unlikely to be a coincidence. If the subject of the article was happy to have a self-edited puff piece about him here, he has no basis for complaint when the article becomes balanced with properly sourced but negative information. Given the pattern of edits, it may be worth contacting Jan Peters offline to verify that the edits made here under his name are really his. —"
649723,100084318,0.30933344,0.0,":*'''Comment''' - no, it's not paywall; I mean it is flat-out '''gone from the Internet''' (the domain doesn't resolve, period) except for being available on LinkedIn, where it only appears as a Pulse listing, and we can't use LinkedIn per RS. I don't know what you are seeing in those two sources ""about Asiedu the individual"" - those sources are about ''the companies he chairs'', not the subject, or they are things he said, not things ''about the subject''.  Things the subject says are not independent of the subject.  This is a ''biographical'' article, not an article about his companies, and they are different.  That is the sourcing problem here. Also, I appreciate the COI disclosure - you pushed for the original nom not to be deleted in the first AfD despite being previously declined at AFC, had it userfied, then you approved it at AFC anyway and pushed it into mainspace yourself.  I was wondering why the old draft history had disappeared.  I'll let the community deal with the [[WP:POINT]]."
1138676,100149271,0.30802813,0.0,"Simply a clearly advertised business listing, of which our non-negotiable policies make no exceptions, because all sources: 1-4 are simply published news stories about their company activiites and plans, and not consistently significant coverage to suggest actual notability, and a [https://www.google.com/search?q=Sanjel+Corporation+Lloydminster+Alberta+Canada+company&tbm=nws&source=lnms&sa=X&ved=0ahUKEwjIvYjJ56nSAhVMz1QKHfhUBWYQ_AUICSgC simple search] found nothing else better, and searching next found only their own company webpages; both WP:CORPDEPTH and WP:NOT state Wikipedia is not to be used as a simple business webhost, and given the history shows clear signs of this, with no avail in attempted improvements, there's no other solution."
